Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
15,344933,331469
58,17837,17180
37,46320,45050
60,20566,19774
16,93300,89788
9,402638,389425
28,186815,179620
41,226866,217945
53,10732,10331
31,2751,2645
2,63386,61451
21,39839,38305
12,61284,59016
61,94979,92092
30,81449,78442
39,50902,48921
6,7125,6867
34,237466,228336
14,296215,285133
19,29577,28426
35,68328,65714
49,3961,3818
71,819,789
57,118031,113913
38,12724,12335
27,41689,40028
42,488548,470446
8,106646,102749
63,4124,4017
10,6918,6658
