Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
18,2090,2010
17,7938,7667
61,94979,92092
34,237466,228336
8,106646,102749
67,534271,514608
43,346884,333857
59,102800,99076
24,188937,181930
36,3749,3652
68,57999,56089
54,1036,996
13,117690,113247
6,7125,6867
32,2054,1974
20,6427,6221
28,186815,179620
69,10801638,10404167
9,402638,389425
42,488548,470446
49,3961,3818
10,6918,6658
41,226866,217945
2,63386,61451
66,5046611,4873607
55,4706,4537
38,12724,12335
46,6176701,5963524
37,46320,45050
22,15671,15182
