Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
62,112268,107818
25,106489,102547
46,6176701,5963524
14,296215,285133
56,29469,28332
71,819,789
4,462679,446775
24,188937,181930
3,115263,111236
32,2054,1974
55,4706,4537
8,106646,102749
57,118031,113913
6,7125,6867
23,138323,133770
35,68328,65714
2,63386,61451
47,399040,385322
68,57999,56089
59,102800,99076
43,346884,333857
40,52193,50336
49,3961,3818
31,2751,2645
21,39839,38305
60,20566,19774
1,74938,72172
5,11933,11514
54,1036,996
45,11022,10677
