Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
45,11022,10677
6,7125,6867
35,68328,65714
54,1036,996
55,4706,4537
66,5046611,4873607
18,2090,2010
51,33861,32567
46,6176701,5963524
23,138323,133770
8,106646,102749
58,17837,17180
70,20908,20264
39,50902,48921
19,29577,28426
21,39839,38305
68,57999,56089
36,3749,3652
13,117690,113247
11,93453,89598
4,462679,446775
61,94979,92092
26,7387,7180
1,74938,72172
47,399040,385322
22,15671,15182
3,115263,111236
62,112268,107818
31,2751,2645
50,284,276
