Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
38,12724,12335
24,188937,181930
17,7938,7667
11,93453,89598
2,63386,61451
3,115263,111236
29,155808,150180
34,237466,228336
27,41689,40028
68,57999,56089
40,52193,50336
21,39839,38305
65,290805,280759
48,525,508
15,344933,331469
36,3749,3652
61,94979,92092
55,4706,4537
66,5046611,4873607
22,15671,15182
35,68328,65714
52,6902,6646
43,346884,333857
69,10801638,10404167
26,7387,7180
49,3961,3818
8,106646,102749
39,50902,48921
13,117690,113247
20,6427,6221
