Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
6,7125,6867
58,17837,17180
48,525,508
63,4124,4017
41,226866,217945
35,68328,65714
61,94979,92092
46,6176701,5963524
66,5046611,4873607
11,93453,89598
10,6918,6658
20,6427,6221
44,223044,215378
16,93300,89788
49,3961,3818
33,312918,300967
27,41689,40028
8,106646,102749
13,117690,113247
26,7387,7180
43,346884,333857
68,57999,56089
37,46320,45050
23,138323,133770
36,3749,3652
7,108611,104706
56,29469,28332
15,344933,331469
3,115263,111236
4,462679,446775
