Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
14,296215,285133
25,106489,102547
4,462679,446775
7,108611,104706
8,106646,102749
46,6176701,5963524
35,68328,65714
15,344933,331469
59,102800,99076
29,155808,150180
18,2090,2010
61,94979,92092
49,3961,3818
21,39839,38305
24,188937,181930
57,118031,113913
34,237466,228336
60,20566,19774
16,93300,89788
65,290805,280759
42,488548,470446
40,52193,50336
20,6427,6221
32,2054,1974
9,402638,389425
51,33861,32567
50,284,276
3,115263,111236
53,10732,10331
1,74938,72172
