Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
8,106646,102749
66,5046611,4873607
15,344933,331469
47,399040,385322
71,819,789
31,2751,2645
24,188937,181930
28,186815,179620
60,20566,19774
62,112268,107818
53,10732,10331
32,2054,1974
22,15671,15182
37,46320,45050
19,29577,28426
9,402638,389425
3,115263,111236
34,237466,228336
16,93300,89788
69,10801638,10404167
7,108611,104706
6,7125,6867
65,290805,280759
70,20908,20264
13,117690,113247
64,864962,834623
48,525,508
52,6902,6646
40,52193,50336
39,50902,48921
