Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
55,4706,4537
26,7387,7180
52,6902,6646
49,3961,3818
64,864962,834623
17,7938,7667
46,6176701,5963524
7,108611,104706
56,29469,28332
69,10801638,10404167
40,52193,50336
10,6918,6658
45,11022,10677
58,17837,17180
36,3749,3652
14,296215,285133
4,462679,446775
30,81449,78442
54,1036,996
5,11933,11514
59,102800,99076
23,138323,133770
15,344933,331469
32,2054,1974
18,2090,2010
60,20566,19774
50,284,276
38,12724,12335
3,115263,111236
68,57999,56089
