Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
65,290805,280759
1,74938,72172
53,10732,10331
40,52193,50336
47,399040,385322
68,57999,56089
45,11022,10677
39,50902,48921
7,108611,104706
22,15671,15182
10,6918,6658
59,102800,99076
31,2751,2645
50,284,276
26,7387,7180
19,29577,28426
2,63386,61451
16,93300,89788
66,5046611,4873607
48,525,508
67,534271,514608
69,10801638,10404167
32,2054,1974
58,17837,17180
42,488548,470446
38,12724,12335
20,6427,6221
54,1036,996
3,115263,111236
29,155808,150180
