Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
57,118031,113913
45,11022,10677
53,10732,10331
40,52193,50336
52,6902,6646
21,39839,38305
14,296215,285133
63,4124,4017
60,20566,19774
8,106646,102749
27,41689,40028
37,46320,45050
43,346884,333857
69,10801638,10404167
2,63386,61451
24,188937,181930
65,290805,280759
44,223044,215378
16,93300,89788
7,108611,104706
68,57999,56089
5,11933,11514
4,462679,446775
58,17837,17180
11,93453,89598
13,117690,113247
59,102800,99076
18,2090,2010
49,3961,3818
12,61284,59016
