Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
38,12724,12335
28,186815,179620
14,296215,285133
10,6918,6658
44,223044,215378
69,10801638,10404167
5,11933,11514
31,2751,2645
17,7938,7667
20,6427,6221
26,7387,7180
2,63386,61451
52,6902,6646
6,7125,6867
24,188937,181930
3,115263,111236
4,462679,446775
67,534271,514608
37,46320,45050
12,61284,59016
8,106646,102749
11,93453,89598
40,52193,50336
51,33861,32567
59,102800,99076
71,819,789
34,237466,228336
1,74938,72172
32,2054,1974
50,284,276
