Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
8,106646,102749
16,93300,89788
66,5046611,4873607
27,41689,40028
49,3961,3818
33,312918,300967
43,346884,333857
13,117690,113247
62,112268,107818
48,525,508
60,20566,19774
58,17837,17180
38,12724,12335
39,50902,48921
21,39839,38305
30,81449,78442
57,118031,113913
29,155808,150180
4,462679,446775
55,4706,4537
37,46320,45050
64,864962,834623
26,7387,7180
15,344933,331469
22,15671,15182
25,106489,102547
1,74938,72172
17,7938,7667
19,29577,28426
63,4124,4017
