Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
34,237466,228336
67,534271,514608
1,74938,72172
32,2054,1974
20,6427,6221
54,1036,996
12,61284,59016
45,11022,10677
7,108611,104706
69,10801638,10404167
31,2751,2645
41,226866,217945
4,462679,446775
57,118031,113913
68,57999,56089
71,819,789
64,864962,834623
3,115263,111236
21,39839,38305
5,11933,11514
35,68328,65714
52,6902,6646
30,81449,78442
14,296215,285133
53,10732,10331
70,20908,20264
23,138323,133770
9,402638,389425
33,312918,300967
63,4124,4017
