Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
37,46320,45050
19,29577,28426
13,117690,113247
56,29469,28332
8,106646,102749
30,81449,78442
27,41689,40028
38,12724,12335
51,33861,32567
65,290805,280759
20,6427,6221
40,52193,50336
35,68328,65714
33,312918,300967
47,399040,385322
32,2054,1974
58,17837,17180
45,11022,10677
12,61284,59016
36,3749,3652
71,819,789
70,20908,20264
50,284,276
16,93300,89788
69,10801638,10404167
1,74938,72172
55,4706,4537
23,138323,133770
59,102800,99076
42,488548,470446
