Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
31,2751,2645
57,118031,113913
42,488548,470446
43,346884,333857
40,52193,50336
25,106489,102547
36,3749,3652
71,819,789
47,399040,385322
62,112268,107818
2,63386,61451
67,534271,514608
64,864962,834623
63,4124,4017
37,46320,45050
7,108611,104706
23,138323,133770
12,61284,59016
5,11933,11514
26,7387,7180
22,15671,15182
56,29469,28332
19,29577,28426
10,6918,6658
46,6176701,5963524
66,5046611,4873607
51,33861,32567
21,39839,38305
15,344933,331469
49,3961,3818
