Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
59,102800,99076
66,5046611,4873607
34,237466,228336
52,6902,6646
2,63386,61451
36,3749,3652
32,2054,1974
64,864962,834623
67,534271,514608
13,117690,113247
45,11022,10677
69,10801638,10404167
11,93453,89598
27,41689,40028
24,188937,181930
47,399040,385322
23,138323,133770
4,462679,446775
35,68328,65714
50,284,276
62,112268,107818
57,118031,113913
28,186815,179620
38,12724,12335
14,296215,285133
33,312918,300967
22,15671,15182
10,6918,6658
61,94979,92092
41,226866,217945
