Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
48,525,508
9,402638,389425
38,12724,12335
43,346884,333857
25,106489,102547
53,10732,10331
36,3749,3652
50,284,276
54,1036,996
16,93300,89788
4,462679,446775
6,7125,6867
64,864962,834623
20,6427,6221
10,6918,6658
37,46320,45050
62,112268,107818
39,50902,48921
7,108611,104706
68,57999,56089
23,138323,133770
19,29577,28426
13,117690,113247
31,2751,2645
8,106646,102749
60,20566,19774
67,534271,514608
52,6902,6646
11,93453,89598
33,312918,300967
