Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
28,186815,179620
71,819,789
36,3749,3652
45,11022,10677
23,138323,133770
44,223044,215378
7,108611,104706
30,81449,78442
43,346884,333857
20,6427,6221
35,68328,65714
66,5046611,4873607
18,2090,2010
33,312918,300967
70,20908,20264
10,6918,6658
40,52193,50336
11,93453,89598
41,226866,217945
47,399040,385322
50,284,276
52,6902,6646
39,50902,48921
53,10732,10331
51,33861,32567
48,525,508
17,7938,7667
58,17837,17180
15,344933,331469
37,46320,45050
