Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
48,525,508
3,115263,111236
9,402638,389425
34,237466,228336
65,290805,280759
38,12724,12335
30,81449,78442
62,112268,107818
71,819,789
1,74938,72172
22,15671,15182
50,284,276
63,4124,4017
35,68328,65714
32,2054,1974
23,138323,133770
6,7125,6867
18,2090,2010
44,223044,215378
59,102800,99076
20,6427,6221
69,10801638,10404167
60,20566,19774
67,534271,514608
55,4706,4537
64,864962,834623
19,29577,28426
53,10732,10331
47,399040,385322
15,344933,331469
