Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
31,2751,2645
33,312918,300967
8,106646,102749
63,4124,4017
17,7938,7667
37,46320,45050
25,106489,102547
19,29577,28426
20,6427,6221
9,402638,389425
36,3749,3652
40,52193,50336
24,188937,181930
68,57999,56089
44,223044,215378
62,112268,107818
34,237466,228336
11,93453,89598
47,399040,385322
38,12724,12335
13,117690,113247
60,20566,19774
30,81449,78442
53,10732,10331
27,41689,40028
22,15671,15182
49,3961,3818
71,819,789
48,525,508
23,138323,133770
