Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
68,57999,56089
48,525,508
46,6176701,5963524
52,6902,6646
27,41689,40028
2,63386,61451
29,155808,150180
70,20908,20264
36,3749,3652
16,93300,89788
19,29577,28426
45,11022,10677
11,93453,89598
57,118031,113913
24,188937,181930
31,2751,2645
40,52193,50336
47,399040,385322
30,81449,78442
14,296215,285133
51,33861,32567
23,138323,133770
34,237466,228336
35,68328,65714
63,4124,4017
61,94979,92092
55,4706,4537
5,11933,11514
53,10732,10331
17,7938,7667
