Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
8,106646,102749
66,5046611,4873607
31,2751,2645
68,57999,56089
58,17837,17180
32,2054,1974
20,6427,6221
7,108611,104706
37,46320,45050
22,15671,15182
29,155808,150180
50,284,276
9,402638,389425
35,68328,65714
3,115263,111236
47,399040,385322
69,10801638,10404167
60,20566,19774
17,7938,7667
49,3961,3818
27,41689,40028
43,346884,333857
53,10732,10331
59,102800,99076
41,226866,217945
21,39839,38305
6,7125,6867
42,488548,470446
44,223044,215378
38,12724,12335
