Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
71,819,789
4,462679,446775
7,108611,104706
19,29577,28426
40,52193,50336
66,5046611,4873607
69,10801638,10404167
43,346884,333857
24,188937,181930
63,4124,4017
62,112268,107818
20,6427,6221
48,525,508
54,1036,996
29,155808,150180
57,118031,113913
37,46320,45050
25,106489,102547
67,534271,514608
21,39839,38305
65,290805,280759
34,237466,228336
13,117690,113247
47,399040,385322
42,488548,470446
59,102800,99076
30,81449,78442
10,6918,6658
68,57999,56089
22,15671,15182
