Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
25,106489,102547
2,63386,61451
14,296215,285133
42,488548,470446
23,138323,133770
61,94979,92092
39,50902,48921
24,188937,181930
40,52193,50336
26,7387,7180
69,10801638,10404167
19,29577,28426
22,15671,15182
13,117690,113247
49,3961,3818
60,20566,19774
12,61284,59016
3,115263,111236
59,102800,99076
30,81449,78442
56,29469,28332
37,46320,45050
38,12724,12335
45,11022,10677
9,402638,389425
17,7938,7667
1,74938,72172
28,186815,179620
46,6176701,5963524
70,20908,20264
