Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
35,68328,65714
20,6427,6221
41,226866,217945
1,74938,72172
17,7938,7667
18,2090,2010
31,2751,2645
49,3961,3818
25,106489,102547
50,284,276
55,4706,4537
42,488548,470446
9,402638,389425
58,17837,17180
28,186815,179620
7,108611,104706
37,46320,45050
53,10732,10331
40,52193,50336
69,10801638,10404167
45,11022,10677
10,6918,6658
68,57999,56089
46,6176701,5963524
16,93300,89788
47,399040,385322
54,1036,996
15,344933,331469
38,12724,12335
8,106646,102749
