Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
55,4706,4537
40,52193,50336
20,6427,6221
50,284,276
61,94979,92092
29,155808,150180
12,61284,59016
34,237466,228336
8,106646,102749
43,346884,333857
33,312918,300967
15,344933,331469
68,57999,56089
21,39839,38305
3,115263,111236
35,68328,65714
65,290805,280759
2,63386,61451
25,106489,102547
46,6176701,5963524
7,108611,104706
48,525,508
1,74938,72172
51,33861,32567
26,7387,7180
23,138323,133770
53,10732,10331
36,3749,3652
18,2090,2010
45,11022,10677
