Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
64,864962,834623
24,188937,181930
11,93453,89598
45,11022,10677
62,112268,107818
50,284,276
51,33861,32567
18,2090,2010
22,15671,15182
14,296215,285133
16,93300,89788
2,63386,61451
21,39839,38305
30,81449,78442
23,138323,133770
29,155808,150180
6,7125,6867
28,186815,179620
65,290805,280759
48,525,508
17,7938,7667
59,102800,99076
25,106489,102547
3,115263,111236
4,462679,446775
54,1036,996
58,17837,17180
69,10801638,10404167
12,61284,59016
27,41689,40028
