Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
43,346884,333857
56,29469,28332
20,6427,6221
30,81449,78442
39,50902,48921
5,11933,11514
1,74938,72172
14,296215,285133
54,1036,996
7,108611,104706
52,6902,6646
15,344933,331469
65,290805,280759
71,819,789
58,17837,17180
4,462679,446775
51,33861,32567
13,117690,113247
45,11022,10677
63,4124,4017
66,5046611,4873607
49,3961,3818
59,102800,99076
70,20908,20264
61,94979,92092
25,106489,102547
50,284,276
42,488548,470446
64,864962,834623
18,2090,2010
