Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
67,534271,514608
53,10732,10331
37,46320,45050
66,5046611,4873607
70,20908,20264
17,7938,7667
32,2054,1974
51,33861,32567
15,344933,331469
1,74938,72172
29,155808,150180
64,864962,834623
25,106489,102547
12,61284,59016
11,93453,89598
13,117690,113247
65,290805,280759
8,106646,102749
47,399040,385322
56,29469,28332
22,15671,15182
5,11933,11514
3,115263,111236
26,7387,7180
34,237466,228336
7,108611,104706
16,93300,89788
33,312918,300967
31,2751,2645
40,52193,50336
