Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
51,33861,32567
68,57999,56089
33,312918,300967
21,39839,38305
22,15671,15182
53,10732,10331
25,106489,102547
45,11022,10677
60,20566,19774
11,93453,89598
34,237466,228336
8,106646,102749
5,11933,11514
17,7938,7667
49,3961,3818
52,6902,6646
12,61284,59016
9,402638,389425
30,81449,78442
65,290805,280759
32,2054,1974
37,46320,45050
43,346884,333857
29,155808,150180
55,4706,4537
48,525,508
63,4124,4017
24,188937,181930
13,117690,113247
64,864962,834623
