Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
48,525,508
53,10732,10331
70,20908,20264
64,864962,834623
50,284,276
4,462679,446775
20,6427,6221
42,488548,470446
37,46320,45050
21,39839,38305
52,6902,6646
35,68328,65714
66,5046611,4873607
46,6176701,5963524
23,138323,133770
30,81449,78442
56,29469,28332
47,399040,385322
32,2054,1974
71,819,789
61,94979,92092
1,74938,72172
34,237466,228336
8,106646,102749
36,3749,3652
25,106489,102547
28,186815,179620
51,33861,32567
15,344933,331469
57,118031,113913
