Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
34,237466,228336
26,7387,7180
18,2090,2010
63,4124,4017
52,6902,6646
60,20566,19774
71,819,789
12,61284,59016
57,118031,113913
37,46320,45050
14,296215,285133
20,6427,6221
59,102800,99076
36,3749,3652
33,312918,300967
6,7125,6867
50,284,276
8,106646,102749
70,20908,20264
23,138323,133770
62,112268,107818
67,534271,514608
56,29469,28332
27,41689,40028
69,10801638,10404167
55,4706,4537
5,11933,11514
24,188937,181930
54,1036,996
3,115263,111236
