Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
67,534271,514608
11,93453,89598
56,29469,28332
55,4706,4537
20,6427,6221
7,108611,104706
44,223044,215378
45,11022,10677
3,115263,111236
46,6176701,5963524
2,63386,61451
23,138323,133770
30,81449,78442
37,46320,45050
38,12724,12335
4,462679,446775
51,33861,32567
8,106646,102749
14,296215,285133
70,20908,20264
36,3749,3652
39,50902,48921
64,864962,834623
69,10801638,10404167
25,106489,102547
19,29577,28426
60,20566,19774
33,312918,300967
27,41689,40028
18,2090,2010
