Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
65,290805,280759
64,864962,834623
14,296215,285133
57,118031,113913
6,7125,6867
4,462679,446775
34,237466,228336
61,94979,92092
30,81449,78442
17,7938,7667
68,57999,56089
26,7387,7180
43,346884,333857
28,186815,179620
16,93300,89788
22,15671,15182
46,6176701,5963524
20,6427,6221
58,17837,17180
32,2054,1974
11,93453,89598
60,20566,19774
36,3749,3652
69,10801638,10404167
7,108611,104706
10,6918,6658
47,399040,385322
41,226866,217945
40,52193,50336
5,11933,11514
