Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
46,6176701,5963524
51,33861,32567
49,3961,3818
47,399040,385322
4,462679,446775
56,29469,28332
40,52193,50336
3,115263,111236
62,112268,107818
65,290805,280759
59,102800,99076
26,7387,7180
61,94979,92092
27,41689,40028
60,20566,19774
15,344933,331469
14,296215,285133
71,819,789
57,118031,113913
7,108611,104706
39,50902,48921
54,1036,996
69,10801638,10404167
29,155808,150180
20,6427,6221
11,93453,89598
2,63386,61451
63,4124,4017
53,10732,10331
32,2054,1974
