Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
47,399040,385322
30,81449,78442
4,462679,446775
27,41689,40028
36,3749,3652
10,6918,6658
41,226866,217945
7,108611,104706
44,223044,215378
21,39839,38305
32,2054,1974
17,7938,7667
65,290805,280759
25,106489,102547
8,106646,102749
9,402638,389425
37,46320,45050
26,7387,7180
43,346884,333857
13,117690,113247
52,6902,6646
57,118031,113913
62,112268,107818
64,864962,834623
15,344933,331469
68,57999,56089
59,102800,99076
29,155808,150180
3,115263,111236
5,11933,11514
