Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
44,223044,215378
10,6918,6658
17,7938,7667
37,46320,45050
16,93300,89788
36,3749,3652
61,94979,92092
5,11933,11514
11,93453,89598
4,462679,446775
40,52193,50336
24,188937,181930
68,57999,56089
30,81449,78442
23,138323,133770
35,68328,65714
50,284,276
55,4706,4537
69,10801638,10404167
33,312918,300967
62,112268,107818
26,7387,7180
46,6176701,5963524
49,3961,3818
2,63386,61451
45,11022,10677
32,2054,1974
6,7125,6867
1,74938,72172
25,106489,102547
