Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
19,29577,28426
1,74938,72172
24,188937,181930
64,864962,834623
30,81449,78442
37,46320,45050
20,6427,6221
69,10801638,10404167
41,226866,217945
70,20908,20264
2,63386,61451
61,94979,92092
47,399040,385322
11,93453,89598
14,296215,285133
39,50902,48921
43,346884,333857
28,186815,179620
21,39839,38305
5,11933,11514
46,6176701,5963524
45,11022,10677
42,488548,470446
33,312918,300967
16,93300,89788
4,462679,446775
50,284,276
51,33861,32567
3,115263,111236
6,7125,6867
