Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
69,10801638,10404167
1,74938,72172
16,93300,89788
19,29577,28426
32,2054,1974
7,108611,104706
36,3749,3652
27,41689,40028
54,1036,996
46,6176701,5963524
8,106646,102749
66,5046611,4873607
3,115263,111236
61,94979,92092
52,6902,6646
6,7125,6867
60,20566,19774
17,7938,7667
38,12724,12335
58,17837,17180
23,138323,133770
56,29469,28332
5,11933,11514
28,186815,179620
42,488548,470446
26,7387,7180
10,6918,6658
21,39839,38305
57,118031,113913
67,534271,514608
