Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
28,186815,179620
26,7387,7180
69,10801638,10404167
20,6427,6221
45,11022,10677
14,296215,285133
66,5046611,4873607
23,138323,133770
9,402638,389425
25,106489,102547
11,93453,89598
16,93300,89788
36,3749,3652
4,462679,446775
3,115263,111236
37,46320,45050
35,68328,65714
63,4124,4017
6,7125,6867
22,15671,15182
27,41689,40028
33,312918,300967
68,57999,56089
5,11933,11514
61,94979,92092
29,155808,150180
65,290805,280759
31,2751,2645
38,12724,12335
18,2090,2010
