Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
45,11022,10677
62,112268,107818
36,3749,3652
10,6918,6658
21,39839,38305
37,46320,45050
55,4706,4537
23,138323,133770
40,52193,50336
49,3961,3818
56,29469,28332
33,312918,300967
22,15671,15182
34,237466,228336
67,534271,514608
61,94979,92092
15,344933,331469
4,462679,446775
30,81449,78442
31,2751,2645
2,63386,61451
38,12724,12335
46,6176701,5963524
39,50902,48921
6,7125,6867
25,106489,102547
11,93453,89598
63,4124,4017
53,10732,10331
29,155808,150180
