Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
54,1036,996
18,2090,2010
64,864962,834623
5,11933,11514
44,223044,215378
69,10801638,10404167
11,93453,89598
28,186815,179620
38,12724,12335
25,106489,102547
39,50902,48921
55,4706,4537
50,284,276
17,7938,7667
41,226866,217945
15,344933,331469
35,68328,65714
36,3749,3652
45,11022,10677
8,106646,102749
37,46320,45050
13,117690,113247
66,5046611,4873607
68,57999,56089
67,534271,514608
43,346884,333857
3,115263,111236
22,15671,15182
16,93300,89788
26,7387,7180
