Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
33,312918,300967
19,29577,28426
23,138323,133770
43,346884,333857
52,6902,6646
31,2751,2645
13,117690,113247
3,115263,111236
9,402638,389425
69,10801638,10404167
27,41689,40028
1,74938,72172
48,525,508
25,106489,102547
28,186815,179620
38,12724,12335
67,534271,514608
47,399040,385322
60,20566,19774
63,4124,4017
20,6427,6221
49,3961,3818
5,11933,11514
54,1036,996
41,226866,217945
17,7938,7667
37,46320,45050
36,3749,3652
65,290805,280759
7,108611,104706
