Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
17,7938,7667
70,20908,20264
59,102800,99076
45,11022,10677
33,312918,300967
12,61284,59016
15,344933,331469
49,3961,3818
51,33861,32567
38,12724,12335
52,6902,6646
32,2054,1974
62,112268,107818
44,223044,215378
61,94979,92092
19,29577,28426
41,226866,217945
21,39839,38305
54,1036,996
58,17837,17180
30,81449,78442
37,46320,45050
3,115263,111236
20,6427,6221
71,819,789
25,106489,102547
69,10801638,10404167
9,402638,389425
35,68328,65714
64,864962,834623
