Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
66,5046611,4873607
60,20566,19774
1,74938,72172
17,7938,7667
56,29469,28332
33,312918,300967
61,94979,92092
12,61284,59016
9,402638,389425
2,63386,61451
67,534271,514608
43,346884,333857
51,33861,32567
29,155808,150180
22,15671,15182
32,2054,1974
15,344933,331469
28,186815,179620
64,864962,834623
49,3961,3818
71,819,789
39,50902,48921
30,81449,78442
68,57999,56089
52,6902,6646
3,115263,111236
50,284,276
48,525,508
65,290805,280759
47,399040,385322
