Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
3,115263,111236
61,94979,92092
70,20908,20264
55,4706,4537
33,312918,300967
34,237466,228336
65,290805,280759
9,402638,389425
28,186815,179620
15,344933,331469
19,29577,28426
8,106646,102749
47,399040,385322
63,4124,4017
5,11933,11514
1,74938,72172
6,7125,6867
2,63386,61451
45,11022,10677
11,93453,89598
40,52193,50336
59,102800,99076
39,50902,48921
25,106489,102547
20,6427,6221
35,68328,65714
64,864962,834623
56,29469,28332
44,223044,215378
37,46320,45050
