Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
42,488548,470446
55,4706,4537
49,3961,3818
57,118031,113913
64,864962,834623
17,7938,7667
20,6427,6221
69,10801638,10404167
6,7125,6867
62,112268,107818
43,346884,333857
38,12724,12335
28,186815,179620
34,237466,228336
25,106489,102547
30,81449,78442
45,11022,10677
37,46320,45050
19,29577,28426
13,117690,113247
5,11933,11514
50,284,276
3,115263,111236
65,290805,280759
41,226866,217945
63,4124,4017
11,93453,89598
51,33861,32567
14,296215,285133
68,57999,56089
