Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
11,93453,89598
41,226866,217945
14,296215,285133
39,50902,48921
36,3749,3652
26,7387,7180
44,223044,215378
52,6902,6646
4,462679,446775
22,15671,15182
33,312918,300967
31,2751,2645
58,17837,17180
40,52193,50336
55,4706,4537
10,6918,6658
66,5046611,4873607
53,10732,10331
23,138323,133770
51,33861,32567
49,3961,3818
65,290805,280759
34,237466,228336
1,74938,72172
57,118031,113913
20,6427,6221
48,525,508
71,819,789
63,4124,4017
67,534271,514608
