Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
66,5046611,4873607
17,7938,7667
12,61284,59016
56,29469,28332
45,11022,10677
27,41689,40028
37,46320,45050
31,2751,2645
40,52193,50336
16,93300,89788
33,312918,300967
5,11933,11514
26,7387,7180
43,346884,333857
55,4706,4537
8,106646,102749
65,290805,280759
11,93453,89598
46,6176701,5963524
18,2090,2010
13,117690,113247
2,63386,61451
52,6902,6646
29,155808,150180
58,17837,17180
44,223044,215378
6,7125,6867
50,284,276
24,188937,181930
48,525,508
