Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
28,186815,179620
16,93300,89788
58,17837,17180
40,52193,50336
21,39839,38305
63,4124,4017
27,41689,40028
41,226866,217945
9,402638,389425
54,1036,996
42,488548,470446
64,864962,834623
50,284,276
18,2090,2010
65,290805,280759
70,20908,20264
23,138323,133770
20,6427,6221
26,7387,7180
56,29469,28332
59,102800,99076
11,93453,89598
10,6918,6658
62,112268,107818
53,10732,10331
31,2751,2645
36,3749,3652
6,7125,6867
25,106489,102547
61,94979,92092
