Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
1,74938,72172
4,462679,446775
21,39839,38305
49,3961,3818
35,68328,65714
6,7125,6867
64,864962,834623
10,6918,6658
62,112268,107818
68,57999,56089
65,290805,280759
69,10801638,10404167
44,223044,215378
50,284,276
55,4706,4537
47,399040,385322
56,29469,28332
27,41689,40028
67,534271,514608
38,12724,12335
8,106646,102749
28,186815,179620
9,402638,389425
53,10732,10331
45,11022,10677
43,346884,333857
46,6176701,5963524
31,2751,2645
39,50902,48921
13,117690,113247
