Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
1,74938,72172
51,33861,32567
70,20908,20264
44,223044,215378
15,344933,331469
48,525,508
59,102800,99076
23,138323,133770
24,188937,181930
68,57999,56089
30,81449,78442
21,39839,38305
54,1036,996
39,50902,48921
38,12724,12335
26,7387,7180
61,94979,92092
52,6902,6646
11,93453,89598
16,93300,89788
28,186815,179620
25,106489,102547
5,11933,11514
12,61284,59016
64,864962,834623
19,29577,28426
42,488548,470446
62,112268,107818
13,117690,113247
67,534271,514608
