Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
1,74938,72172
59,102800,99076
21,39839,38305
46,6176701,5963524
56,29469,28332
47,399040,385322
13,117690,113247
66,5046611,4873607
15,344933,331469
48,525,508
26,7387,7180
14,296215,285133
16,93300,89788
68,57999,56089
62,112268,107818
27,41689,40028
54,1036,996
22,15671,15182
17,7938,7667
45,11022,10677
29,155808,150180
42,488548,470446
39,50902,48921
55,4706,4537
20,6427,6221
38,12724,12335
25,106489,102547
23,138323,133770
60,20566,19774
18,2090,2010
