Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
12,61284,59016
10,6918,6658
28,186815,179620
18,2090,2010
48,525,508
8,106646,102749
7,108611,104706
49,3961,3818
29,155808,150180
6,7125,6867
30,81449,78442
52,6902,6646
64,864962,834623
59,102800,99076
56,29469,28332
65,290805,280759
33,312918,300967
31,2751,2645
51,33861,32567
44,223044,215378
1,74938,72172
23,138323,133770
24,188937,181930
40,52193,50336
19,29577,28426
39,50902,48921
16,93300,89788
13,117690,113247
9,402638,389425
43,346884,333857
