Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
62,112268,107818
25,106489,102547
69,10801638,10404167
66,5046611,4873607
20,6427,6221
47,399040,385322
3,115263,111236
50,284,276
71,819,789
59,102800,99076
22,15671,15182
68,57999,56089
63,4124,4017
28,186815,179620
36,3749,3652
39,50902,48921
24,188937,181930
46,6176701,5963524
54,1036,996
5,11933,11514
21,39839,38305
17,7938,7667
60,20566,19774
29,155808,150180
44,223044,215378
1,74938,72172
11,93453,89598
19,29577,28426
70,20908,20264
65,290805,280759
