Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
27,41689,40028
5,11933,11514
18,2090,2010
63,4124,4017
15,344933,331469
47,399040,385322
58,17837,17180
68,57999,56089
11,93453,89598
4,462679,446775
16,93300,89788
46,6176701,5963524
36,3749,3652
32,2054,1974
37,46320,45050
30,81449,78442
49,3961,3818
25,106489,102547
24,188937,181930
70,20908,20264
22,15671,15182
19,29577,28426
38,12724,12335
53,10732,10331
64,864962,834623
54,1036,996
39,50902,48921
57,118031,113913
10,6918,6658
59,102800,99076
