Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
53,10732,10331
27,41689,40028
50,284,276
2,63386,61451
25,106489,102547
52,6902,6646
33,312918,300967
4,462679,446775
49,3961,3818
26,7387,7180
65,290805,280759
20,6427,6221
22,15671,15182
19,29577,28426
38,12724,12335
24,188937,181930
9,402638,389425
36,3749,3652
62,112268,107818
5,11933,11514
21,39839,38305
58,17837,17180
16,93300,89788
8,106646,102749
29,155808,150180
60,20566,19774
63,4124,4017
6,7125,6867
15,344933,331469
1,74938,72172
