Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
3,115263,111236
16,93300,89788
67,534271,514608
32,2054,1974
65,290805,280759
31,2751,2645
42,488548,470446
48,525,508
14,296215,285133
8,106646,102749
38,12724,12335
40,52193,50336
57,118031,113913
36,3749,3652
61,94979,92092
60,20566,19774
17,7938,7667
53,10732,10331
64,864962,834623
7,108611,104706
1,74938,72172
54,1036,996
46,6176701,5963524
44,223044,215378
47,399040,385322
20,6427,6221
45,11022,10677
49,3961,3818
6,7125,6867
10,6918,6658
