Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
50,284,276
15,344933,331469
31,2751,2645
20,6427,6221
27,41689,40028
7,108611,104706
45,11022,10677
41,226866,217945
43,346884,333857
17,7938,7667
58,17837,17180
69,10801638,10404167
11,93453,89598
66,5046611,4873607
25,106489,102547
61,94979,92092
59,102800,99076
56,29469,28332
16,93300,89788
22,15671,15182
13,117690,113247
40,52193,50336
5,11933,11514
33,312918,300967
63,4124,4017
39,50902,48921
28,186815,179620
65,290805,280759
18,2090,2010
64,864962,834623
