Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
44,223044,215378
20,6427,6221
15,344933,331469
59,102800,99076
24,188937,181930
38,12724,12335
19,29577,28426
8,106646,102749
37,46320,45050
26,7387,7180
52,6902,6646
14,296215,285133
9,402638,389425
47,399040,385322
58,17837,17180
7,108611,104706
43,346884,333857
61,94979,92092
28,186815,179620
33,312918,300967
22,15671,15182
60,20566,19774
5,11933,11514
41,226866,217945
53,10732,10331
54,1036,996
68,57999,56089
29,155808,150180
51,33861,32567
65,290805,280759
