Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
17,7938,7667
32,2054,1974
46,6176701,5963524
55,4706,4537
7,108611,104706
70,20908,20264
15,344933,331469
21,39839,38305
4,462679,446775
14,296215,285133
3,115263,111236
60,20566,19774
38,12724,12335
11,93453,89598
18,2090,2010
10,6918,6658
39,50902,48921
47,399040,385322
57,118031,113913
2,63386,61451
1,74938,72172
33,312918,300967
12,61284,59016
22,15671,15182
29,155808,150180
28,186815,179620
54,1036,996
48,525,508
42,488548,470446
37,46320,45050
