Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
29,155808,150180
61,94979,92092
50,284,276
39,50902,48921
30,81449,78442
11,93453,89598
62,112268,107818
68,57999,56089
53,10732,10331
45,11022,10677
13,117690,113247
38,12724,12335
1,74938,72172
27,41689,40028
15,344933,331469
44,223044,215378
54,1036,996
8,106646,102749
18,2090,2010
64,864962,834623
35,68328,65714
57,118031,113913
23,138323,133770
21,39839,38305
22,15671,15182
69,10801638,10404167
31,2751,2645
65,290805,280759
46,6176701,5963524
26,7387,7180
