Plane ID,Plan 1 Fuel Consumption,Plan 2 Fuel Consumption
7,108611,104706
54,1036,996
67,534271,514608
49,3961,3818
66,5046611,4873607
4,462679,446775
12,61284,59016
11,93453,89598
62,112268,107818
10,6918,6658
46,6176701,5963524
45,11022,10677
3,115263,111236
19,29577,28426
61,94979,92092
32,2054,1974
56,29469,28332
38,12724,12335
20,6427,6221
55,4706,4537
15,344933,331469
59,102800,99076
39,50902,48921
47,399040,385322
71,819,789
23,138323,133770
5,11933,11514
69,10801638,10404167
50,284,276
52,6902,6646
